[Target],1,2,3,4,5,6,7,8,9,10
[spring-boot-jpa],21769106087,30090925317,30240980290
[spring-boot-jdbc-template],5235386,2957541,2958509,2917407,4882417,5033073,4943194,5062224,5233678,5059616
[vertx-jdbc],5746361,2863782,2776284,4791711,4770634,4947198,4710039,4801786,4945024,4870123
[vertx-async],2707968,2793046,2864927,4371796,5050604,4881757,5117277,4892634,5234459,4838387
[vertx-hikari],3208147,2681651,2750830,4821264,4610577,4819622,5055244,4883524,4853599,4769808
