[Target],1,2,3,4,5,6,7,8,9,10
[spring-boot-jpa],8553194517,7514156088
[spring-boot-jdbc-template],396488419,352760563,930187824,551623710,474240465,457988778,401914344,798085130,579506429,490927984
[vertx-jdbc],450261884,363666425,415200674,448212216,349736169,792381830,589265475,379074956,313557611,400072448
[vertx-async],683306429,635244553,861391075,460603283,591491827,486778551,593539388,612178632,596689314,765348985
[vertx-hikari],725634317,416472749,691389120,489243935,325866689,569100334,439149344,416826319,633459425,534209618
