[Target],1,2,3,4,5,6,7,8,9,10
[spring-boot-jpa],1138206869,565735700
[spring-boot-jdbc-template],129551096,137571401,131730724,127230569,118785292,125271378,121891673,130843747,100425303,126773482
[vertx-jdbc],66190678,58925520,60250970,55582155,54606539,55803992,57478688,57273576,58753683,57640848
[vertx-async],58197593,59485034,67432696,54945681,57423848,60536176,57149887,55935264,56750535,58075019
[vertx-hikari],58866149,56047550,56345748,55644983,56480595,57408725,56635361,54408263,55564267,55783039
