[Target],1,2,3,4,5,6,7,8,9,10
[spring-boot-jpa],0.0,0.0
[spring-boot-jdbc-template],96.54,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
[vertx-jdbc],100.0,100.0,100.0,72.37,71.48,72.01,72.15,71.81,71.58,70.71
[vertx-async],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
[vertx-hikari],100.0,100.0,100.0,71.57,71.19,71.82,70.58,71.85,72.68,70.12
