[Target],1,2,3,4,5,6,7,8,9,10
[spring-boot-jpa],22855951814,24560557169,24615429992
[spring-boot-jdbc-template],3264320,2664819,2788223,2659608,4358516,4882931,4084895,4785855,4839798,4722835
[vertx-jdbc],3351951,2517090,2522338,4777220,4562692,4543418,4669815,4620702,4609201,4694448
[vertx-async],2551534,2587676,3751952,4740976,4758528,5420262,4722295,4671664,5629775,4696527
[vertx-hikari],2635225,2576215,2743187,4680915,4091129,4695669,4772963,4770673,4688236,4683188
