[Target],1,2,3,4,5,6,7,8,9,10
[spring-boot-jpa],0.0,0.0
[spring-boot-jdbc-template],47.32,47.06,46.24,47.21,50.01,47.66,49.94,46.33,49.92,46.32
[vertx-jdbc],45.65,46.46,40.91,18.14,17.68,17.8,17.77,17.71,17.52,17.79
[vertx-async],43.49,42.71,40.64,24.72,25.39,25.27,25.49,25.43,25.59,25.54
[vertx-hikari],46.34,47.14,45.3,18.49,17.84,17.77,18.06,18.06,17.75,18.24
