[Target],1,2,3,4,5,6,7,8,9,10
[spring-boot-jpa],0.0,0.0
[spring-boot-jdbc-template],7.33,7.18,9.22,6.55,7.99,6.9,7.2,6.61,6.68,5.62
[vertx-jdbc],6.97,7.56,5.21,5.37,6.37,5.11,7.01,5.69,6.16,5.75
[vertx-async],5.49,5.67,4.78,5.58,5.22,5.26,5.99,5.38,5.07,4.86
[vertx-hikari],6.4,6.51,6.06,5.43,5.91,5.13,5.89,5.47,5.86,4.73
