[Target],1,2,3,4,5,6,7,8,9,10
[spring-boot-jpa],12229455440,12281526290
[spring-boot-jdbc-template],2462191,2241442,2459900,2181440,6098423,6131226,5951359,6049879,6194666,6112362
[vertx-jdbc],3092755,2316354,2348296,6069825,5961593,6014257,6009092,6026854,6083808,6016904
[vertx-async],2616611,2664601,2603835,6371020,6242659,6255366,6093825,6152330,6099685,6180137
[vertx-hikari],2408638,2410967,2399283,6096307,6031975,6020351,6110550,6066937,6120660,6088788
