[Target],1,2,3,4,5,6,7,8,9,10
[spring-boot-jpa],1241644983,1244252888
[spring-boot-jdbc-template],13791636,2221374,2233912,5501863,5627060,5382221,5380723,5859753,6537788,5450010
[vertx-jdbc],4743086,2629376,2393556,197215193,198330619,198404538,198069178,197766939,199412016,201295434
[vertx-async],3338119,2623461,2246289,97891293,11612989,32737456,20877270,14348538,17372622,43195004
[vertx-hikari],3619641,4988086,2993399,199303193,201120259,199968283,200638577,199165311,199219861,200690121
