[Target],1,2,3,4,5,6,7,8,9,10
[spring-boot-jpa],16.32,0.0,0.0
[spring-boot-jdbc-template],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
[vertx-jdbc],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
[vertx-async],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
[vertx-hikari],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
