[Target],1,2,3,4,5,6,7,8,9,10
[spring-boot-jpa],0.0,0.0
[spring-boot-jdbc-template],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
[vertx-jdbc],99.49,100.0,100.0,36.52,36.52,35.59,36.2,35.87,36.47,35.84
[vertx-async],98.07,100.0,98.99,50.87,52.29,50.84,51.88,52.36,51.52,51.59
[vertx-hikari],100.0,100.0,100.0,36.2,36.25,36.04,35.83,35.02,35.19,38.88
