[Target],1,2,3,4,5,6,7,8,9,10
[spring-boot-jpa],6116429375,6143792058
[spring-boot-jdbc-template],2362388,1572663,1782488,3172856,5761500,5374946,5343255,6446186,6330321,6105310
[vertx-jdbc],1760023,1985504,1575248,6212002,6212034,6333985,6069543,7285558,6233472,6108014
[vertx-async],1896626,1735570,1614700,6285533,5798872,6396231,6177251,6050438,6193500,6310251
[vertx-hikari],2201001,2237546,2205553,6072636,6154884,6168624,6250923,5983838,6090800,6251691
